trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1058,False,"{'a': 0.0024876508939925407, 'e': 2.4101045588242425e-05}",20,12,13.588017401574861,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1059,False,"{'a': 0.002475212639522578, 'e': 2.386003513236e-05}",25,5,36.26969792712548,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1060,False,"{'a': 0.002462836576324965, 'e': 2.36214347810364e-05}",20,12,15.00801697463937,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1061,False,"{'a': 0.00245052239344334, 'e': 2.3385220433226035e-05}",35,18,34.94063381470786,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1062,False,"{'a': 0.0024382697814761237, 'e': 2.3151368228893773e-05}",25,16,17.884551584952632,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1063,False,"{'a': 0.002426078432568743, 'e': 2.2919854546604836e-05}",30,18,24.269391516313373,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1064,False,"{'a': 0.002413948040405899, 'e': 2.2690656001138787e-05}",25,8,33.067551180435316,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1065,False,"{'a': 0.0024018783002038697, 'e': 2.24637494411274e-05}",20,12,17.248018358078998,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1066,False,"{'a': 0.0023898689087028502, 'e': 2.2239111946716127e-05}",20,2,32.028613244088504,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1067,False,"{'a': 0.002377919564159336, 'e': 2.2016720827248965e-05}",30,16,23.422923743229365,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1068,False,"{'a': 0.0023660299663385395, 'e': 2.1796553618976474e-05}",25,15,17.29051914575767,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1069,False,"{'a': 0.002354199816506847, 'e': 2.157858808278671e-05}",20,9,20.860039249825185,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1070,False,"{'a': 0.0023424288174243124, 'e': 2.1362802201958842e-05}",25,2,32.77180676321093,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
1071,False,"{'a': 0.0023307166733371907, 'e': 2.1149174179939254e-05}",35,15,33.51948995225301,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1072,False,"{'a': 0.002319063089970505, 'e': 2.0937682438139862e-05}",20,13,11.403230159468162,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1073,False,"{'a': 0.0023074677745206526, 'e': 2.072830561375846e-05}",20,15,-11.55448935919857,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
1074,False,"{'a': 0.002295930435648049, 'e': 2.0521022557620877e-05}",20,14,9.646856452839373,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1075,False,"{'a': 0.002284450783469809, 'e': 2.031581233204467e-05}",20,9,17.670511231972853,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1076,False,"{'a': 0.00227302852955246, 'e': 2.011265420872422e-05}",20,16,7.848564601158107,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1077,False,"{'a': 0.0022616633869046976, 'e': 1.991152766663698e-05}",20,14,9.75478271667399,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1078,False,"{'a': 0.002250355069970174, 'e': 1.971241238997061e-05}",25,3,36.280925072366436,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1079,False,"{'a': 0.002239103294620323, 'e': 1.9515288266070904e-05}",20,1,23.784401104386752,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1080,False,"{'a': 0.0022279077781472215, 'e': 1.9320135383410193e-05}",25,17,13.307497391253293,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
